date,equity,return,rolling_sharpe_252
2015-02-02,1.0144764399528503,0.014476439952850343,
2015-02-03,1.0335690362025887,0.01882014751434326,
2015-02-04,1.0294403774950813,-0.003994565010070801,
2015-02-05,1.0467483516523435,0.016812993288040163,
2015-02-06,1.0442920267060682,-0.0023466241359710693,
2015-02-09,1.0391277930637217,-0.004945200681686401,
2015-02-10,1.0549169287970657,0.015194604396820067,
2015-02-11,1.0549414600000138,2.3254156112670877e-05,
2015-02-12,1.0690939352742306,0.013415412902832031,
2015-02-13,1.0746442526148368,0.005191608667373658,
2015-02-17,1.0766342565133955,0.0018517792224884034,
2015-02-18,1.0734118252083233,-0.002993060350418091,
2015-02-19,1.0774589342863552,0.003770322799682617,
2015-02-20,1.0842892218384472,0.006339255571365357,
2015-02-23,1.078430969910957,-0.005402849912643433,
2015-02-24,1.0824536565501213,0.0037301290035247803,
2015-02-25,1.0824785532443635,2.3000240325927673e-05,
2015-02-26,1.0845939602217074,0.0019542253017425537,
2015-02-27,1.0809171687402501,-0.003390016555786133,
2015-03-02,1.0910974424770497,0.00941818118095398,
2015-03-03,1.0817923158517242,-0.008528226960371704,
2015-03-04,1.0754040087584589,-0.005905299011331658,
2015-03-05,1.0746493834251865,-0.0007017133348273009,
2015-03-06,1.05730451936891,-0.01614002140958203,
2015-03-09,1.0597206050075332,0.0022851369632519267,
2015-03-10,1.0395151121993917,-0.019066811301642932,
2015-03-11,1.0387392404712839,-0.0007463784980156286,
2015-03-12,1.049655694228932,0.01050933028456215,
2015-03-13,1.043637048733993,-0.005733923540861761,
2015-03-16,1.0554550354739922,0.011323847456675827,
2015-03-17,1.0551796015358634,-0.00026096226638870905,
2015-03-18,1.0665132276675002,0.010740945062944995,
2015-03-19,1.0617055273349092,-0.004507867514316358,
2015-03-20,1.0706249470970977,0.008401029788907763,
2015-03-23,1.0691322664636231,-0.0013942143208242855,
2015-03-24,1.0633634900902975,-0.005395755562038309,
2015-03-25,1.0393464854809646,-0.02258588416205007,
2015-03-26,1.035269095215035,-0.003923032716123445,
2015-03-27,1.0371491657550298,0.001816021118262302,
2015-03-30,1.0494128437050279,0.01182441094774486,
2015-03-31,1.04182386014938,-0.007231647297982589,
2015-04-01,1.03644181540005,-0.005165983382794008,
2015-04-02,1.036611078314624,0.00016331154538432903,
2015-04-06,1.0457613410310715,0.008827093311914511,
2015-04-07,1.0428589177282712,-0.002775416520884911,
2015-04-08,1.0495529474619991,0.006418921696819787,
2015-04-09,1.0565470119831648,0.006663851059709298,
2015-04-10,1.0618786633653392,0.005046298292176191,
2015-04-13,1.0594337884599292,-0.002302405152074132,
