date,equity,return,rolling_sharpe_252
2015-02-02,1.0144764399528503,0.014476439952850343,
2015-02-03,1.0335690362025887,0.01882014751434326,
2015-02-04,1.0294403774950813,-0.003994565010070801,
2015-02-05,1.0467483516523435,0.016812993288040163,
2015-02-06,1.0442920267060682,-0.0023466241359710693,
2015-02-09,1.0391277930637217,-0.004945200681686401,
2015-02-10,1.0549169287970657,0.015194604396820067,
2015-02-11,1.0549414600000138,2.3254156112670877e-05,
2015-02-12,1.0690939352742306,0.013415412902832031,
2015-02-13,1.0746442526148368,0.005191608667373658,
2015-02-17,1.0766342565133955,0.0018517792224884034,
2015-02-18,1.0734118252083233,-0.002993060350418091,
2015-02-19,1.0774589342863552,0.003770322799682617,
2015-02-20,1.0842892218384472,0.006339255571365357,
2015-02-23,1.078430969910957,-0.005402849912643433,
2015-02-24,1.0824536565501213,0.0037301290035247803,
2015-02-25,1.0824785532443635,2.3000240325927673e-05,
2015-02-26,1.0845939602217074,0.0019542253017425537,
2015-02-27,1.0809171687402501,-0.003390016555786133,
2015-03-02,1.0910974424770497,0.00941818118095398,
2015-03-03,1.0848940247268328,-0.005685484640247803,
2015-03-04,1.080622942319087,-0.003936866007554439,
2015-03-05,1.0801174173000565,-0.0004678088898848673,
2015-03-06,1.068495338473333,-0.010760014273054687,
2015-03-09,1.0701231106020048,0.0015234246421679514,
2015-03-10,1.0565205536557545,-0.012711207534428623,
2015-03-11,1.0559948441731144,-0.0004975856653437525,
2015-03-12,1.0633933765705876,0.0070062201897081,
2015-03-13,1.0593284323605112,-0.0038226156939078406,
2015-03-16,1.0673255480768913,0.007549231637783886,
2015-03-17,1.0671398602808908,-0.0001739748442591394,
2015-03-18,1.0747812540233947,0.007160630041963331,
2015-03-19,1.0715512730233892,-0.003005245009544239,
2015-03-20,1.0775526958000636,0.005600686525938509,
2015-03-23,1.0765511362001121,-0.000929476213882857,
2015-03-24,1.0726785983461318,-0.0035971703746922063,
2015-03-25,1.0565270019692279,-0.015057256108033379,
2015-03-26,1.0537638086397658,-0.0026153551440822966,
2015-03-27,1.0550395801931993,0.0012106807455082016,
2015-03-30,1.063356394568093,0.007882940631829906,
2015-03-31,1.0582298489697124,-0.0048210981986550605,
2015-04-01,1.0545853170930763,-0.003443988921862673,
2015-04-02,1.0547001343983258,0.0001088743635895527,
2015-04-06,1.0609067587332743,0.005884728874609675,
2015-04-07,1.058943786636403,-0.0018502776805899407,
2015-04-08,1.0634753048015717,0.004279281131213192,
2015-04-09,1.0681998654928229,0.004442567373139533,
2015-04-10,1.0717935022641156,0.0033641988614507936,
2015-04-13,1.070148367009734,-0.0015349367680494216,
